,N,Delta,Alpha
76,50,0.5380380380380381,0.0
77,50,0.5385385385385385,0.0
78,50,0.539039039039039,0.0010000000000000009
79,50,0.5395395395395395,0.0
80,50,0.54004004004004,0.0
81,50,0.5405405405405406,0.0
82,50,0.541041041041041,0.0
83,50,0.5415415415415415,0.0010000000000000009
84,50,0.542042042042042,0.0010000000000000009
85,50,0.5425425425425425,0.0
86,50,0.5430430430430431,0.0010000000000000009
87,50,0.5435435435435435,0.0010000000000000009
88,50,0.544044044044044,0.0010000000000000009
89,50,0.5445445445445446,0.0
90,50,0.545045045045045,0.0
91,50,0.5455455455455456,0.0
92,50,0.546046046046046,0.0
93,50,0.5465465465465466,0.0
94,50,0.5470470470470471,0.0
95,50,0.5475475475475475,0.0
96,50,0.5480480480480481,0.0
97,50,0.5485485485485485,0.0
98,50,0.549049049049049,0.0
99,50,0.5495495495495496,0.0
100,50,0.55005005005005,0.0
101,50,0.5505505505505506,0.0010000000000000009
102,50,0.551051051051051,0.0
103,50,0.5515515515515516,0.0
104,50,0.5520520520520521,0.0
105,50,0.5525525525525525,0.0010000000000000009
106,50,0.5530530530530531,0.0010000000000000009
107,50,0.5535535535535535,0.0
108,50,0.5540540540540541,0.0010000000000000009
109,50,0.5545545545545546,0.0010000000000000009
110,50,0.555055055055055,0.0
111,50,0.5555555555555556,0.0
112,50,0.556056056056056,0.0
113,50,0.5565565565565566,0.0
114,50,0.5570570570570571,0.0
115,50,0.5575575575575575,0.0010000000000000009
116,50,0.5580580580580581,0.0030000000000000027
117,50,0.5585585585585585,0.0010000000000000009
118,50,0.5590590590590591,0.0
119,50,0.5595595595595596,0.0
120,50,0.56006006006006,0.0010000000000000009
121,50,0.5605605605605606,0.0
122,50,0.561061061061061,0.0
123,50,0.5615615615615616,0.0
124,50,0.5620620620620621,0.0010000000000000009
125,50,0.5625625625625625,0.0010000000000000009
126,50,0.5630630630630631,0.0
127,50,0.5635635635635635,0.0020000000000000018
128,50,0.5640640640640641,0.0010000000000000009
129,50,0.5645645645645646,0.0
130,50,0.565065065065065,0.0
131,50,0.5655655655655656,0.0010000000000000009
132,50,0.566066066066066,0.0020000000000000018
133,50,0.5665665665665666,0.0020000000000000018
134,50,0.5670670670670671,0.0
135,50,0.5675675675675675,0.0
136,50,0.5680680680680681,0.0010000000000000009
