N,delta,alpha
1,0.992592592593,0.992338
1,0.992692692693,0.992677
1,0.992792792793,0.992827
1,0.992892892893,0.992696
1,0.992992992993,0.992921
1,0.993093093093,0.993038
1,0.993193193193,0.993253
1,0.993293293293,0.993318
1,0.993393393393,0.993388
1,0.993493493493,0.993627
1,0.993593593594,0.99355
1,0.993693693694,0.993697
1,0.993793793794,0.993711
1,0.993893893894,0.993871
1,0.993993993994,0.994135
1,0.994094094094,0.99427
1,0.994194194194,0.994232
1,0.994294294294,0.994225
1,0.994394394394,0.994407
1,0.994494494494,0.994512
1,0.994594594595,0.994554
1,0.994694694695,0.994793
1,0.994794794795,0.994768
1,0.994894894895,0.994843
1,0.994994994995,0.995086
1,0.995095095095,0.995104
1,0.995195195195,0.995192
1,0.995295295295,0.995223
1,0.995395395395,0.995231
1,0.995495495495,0.995442
1,0.995595595596,0.995585
1,0.995695695696,0.995631
1,0.995795795796,0.995749
1,0.995895895896,0.995979
1,0.995995995996,0.995948
1,0.996096096096,0.996215
1,0.996196196196,0.996186
1,0.996296296296,0.996365
1,0.996396396396,0.996339
1,0.996496496496,0.996488
1,0.996596596597,0.996553
1,0.996696696697,0.99666
1,0.996796796797,0.996794
1,0.996896896897,0.996997
1,0.996996996997,0.996965
1,0.997097097097,0.997154
1,0.997197197197,0.997304
1,0.997297297297,0.997347
1,0.997397397397,0.997448
1,0.997497497497,0.99742
1,0.997597597598,0.997615
1,0.997697697698,0.997762
1,0.997797797798,0.997859
1,0.997897897898,0.997943
1,0.997997997998,0.997994
1,0.998098098098,0.998105
1,0.998198198198,0.998259
1,0.998298298298,0.998242
1,0.998398398398,0.998396
1,0.998498498498,0.998544
1,0.998598598599,0.998601
1,0.998698698699,0.998692
1,0.998798798799,0.998809
1,0.998898898899,0.998874
1,0.998998998999,0.998994
1,0.999099099099,0.999104
1,0.999199199199,0.999203
1,0.999299299299,0.999252
1,0.999399399399,0.999356
1,0.999499499499,0.999542
1,0.9995995996,0.999568
1,0.9996996997,0.999697
1,0.9997997998,0.999806
1,0.9998998999,0.999906
1,1.0,1.0
2,0.973573573574,0.950444
2,0.973673673674,0.950447
2,0.973773773774,0.950868
2,0.973873873874,0.950838
2,0.973973973974,0.950866
2,0.974074074074,0.951146
2,0.974174174174,0.951325
2,0.974274274274,0.951624
2,0.974374374374,0.951741
2,0.974474474474,0.95182
2,0.974574574575,0.952137
2,0.974674674675,0.952314
2,0.974774774775,0.95272
2,0.974874874875,0.952723
2,0.974974974975,0.952629
2,0.975075075075,0.95299
2,0.975175175175,0.95316
2,0.975275275275,0.953205
2,0.975375375375,0.953626
2,0.975475475475,0.953746
2,0.975575575576,0.95354
2,0.975675675676,0.953497
2,0.975775775776,0.954215
2,0.975875875876,0.954543
2,0.975975975976,0.954518
2,0.976076076076,0.954609
2,0.976176176176,0.954869
2,0.976276276276,0.955651
2,0.976376376376,0.955423
2,0.976476476476,0.955626
2,0.976576576577,0.955524
2,0.976676676677,0.955769
2,0.976776776777,0.955804
2,0.976876876877,0.956503
2,0.976976976977,0.956645
2,0.977077077077,0.956641
2,0.977177177177,0.956682
2,0.977277277277,0.956992
2,0.977377377377,0.956913
2,0.977477477477,0.957089
2,0.977577577578,0.957468
2,0.977677677678,0.957788
2,0.977777777778,0.957808
2,0.977877877878,0.95789
2,0.977977977978,0.958164
2,0.978078078078,0.958341
2,0.978178178178,0.95855
2,0.978278278278,0.958892
2,0.978378378378,0.959298
2,0.978478478478,0.95928
2,0.978578578579,0.959612
2,0.978678678679,0.959591
2,0.978778778779,0.959985
2,0.978878878879,0.959777
2,0.978978978979,0.960123
2,0.979079079079,0.960194
2,0.979179179179,0.9605090000000001
2,0.979279279279,0.960534
2,0.979379379379,0.960965
2,0.979479479479,0.961027
2,0.97957957958,0.960798
2,0.97967967968,0.961254
2,0.97977977978,0.96121
2,0.97987987988,0.962028
2,0.97997997998,0.961945
2,0.98008008008,0.96203
2,0.98018018018,0.962221
2,0.98028028028,0.962361
2,0.98038038038,0.96248
2,0.98048048048,0.962853
2,0.980580580581,0.962989
2,0.980680680681,0.963223
2,0.980780780781,0.963206
2,0.980880880881,0.963543
2,0.980980980981,0.96372
2,0.981081081081,0.964372
2,0.981181181181,0.964315
2,0.981281281281,0.964125
2,0.981381381381,0.964761
2,0.981481481481,0.964569
2,0.981581581582,0.965055
2,0.981681681682,0.96497
2,0.981781781782,0.965158
2,0.981881881882,0.965859
2,0.981981981982,0.965484
2,0.982082082082,0.965983
2,0.982182182182,0.965958
2,0.982282282282,0.966132
2,0.982382382382,0.96665
2,0.982482482482,0.96682
2,0.982582582583,0.96706
2,0.982682682683,0.966855
2,0.982782782783,0.967158
2,0.982882882883,0.967525
2,0.982982982983,0.968014
2,0.983083083083,0.967664
2,0.983183183183,0.968184
2,0.983283283283,0.968293
2,0.983383383383,0.968187
2,0.983483483483,0.968532
2,0.983583583584,0.968824
2,0.983683683684,0.96902
2,0.983783783784,0.968957
2,0.983883883884,0.969186
2,0.983983983984,0.969507
2,0.984084084084,0.969539
2,0.984184184184,0.969918
2,0.984284284284,0.970224
2,0.984384384384,0.970359
2,0.984484484484,0.970423
2,0.984584584585,0.970597
2,0.984684684685,0.970644
2,0.984784784785,0.971275
2,0.984884884885,0.970985
2,0.984984984985,0.971149
2,0.985085085085,0.97131
2,0.985185185185,0.971519
2,0.985285285285,0.971605
2,0.985385385385,0.972135
2,0.985485485485,0.972189
2,0.985585585586,0.97246
2,0.985685685686,0.972773
2,0.985785785786,0.972757
2,0.985885885886,0.972632
2,0.985985985986,0.973277
2,0.986086086086,0.973269
2,0.986186186186,0.973411
2,0.986286286286,0.973644
2,0.986386386386,0.973691
2,0.986486486486,0.973889
2,0.986586586587,0.974589
2,0.986686686687,0.974292
2,0.986786786787,0.974649
2,0.986886886887,0.97495
2,0.986986986987,0.974958
2,0.987087087087,0.975501
2,0.987187187187,0.975416
2,0.987287287287,0.975545
2,0.987387387387,0.975824
